#key	synopsis
Star Wars Arcade (USA)	Star Wars Arcade sur Megadrive 32X est un jeu d'action qui plonge le joueur au coeur des aventures des films de Georges Lucas. Prenez les commandes de vaisseaux rebelles tels que le X-Wing et engagez le combat avec la flotte de l'empire.
Stellar Assault (USA, Europe)	Stellar Assault (Shadow Squadron aux Etats-Unis) est un jeu d'action sur Megadrive 32X. Aux manettes de deux types de vaisseaux spatiaux, le joueur doit réaliser six missions destinées à la destruction d'ennemis plus ou moins massifs. Pour ce faire, il est possible de commander à la fois le vaisseau et une tourelle ou d'enclencher les commandes automatiques pour se concentrer sur le tir.
T-MEK (USA, Europe)	T-Mek est un shoot'em up sur Megadrive 32X. Le joueur pilote un T-Mek (tank futuriste) et doit entrer dans une arène pour faire un maximum de dommages à ses adversaires dans un laps de temps limité. Le vainqueur de la manche obtient un passe-droit pour accéder à l'étape suivante du tournoi. Au fur et à mesure que les arènes s'enchaînent, les adversaires deviennent de plus en plus coriaces et laissent parfois place à des Boss.
Tempo (Japan, USA) (En)	Tempo sur Megadrive 32X est un jeu de plates-formes dans lequel, vous incarnez un insecte évoluant sur la planète Rythme, le monde de la musique, pour affronter le machiavélique King Dirge. Tempo se constitue de sept niveaux solos où l'on peut de temps à autre faire appel à un papillon allié pour mieux contrer les attaques ennemies.
Toughman Contest (USA, Europe)	Toughman Contest sur Megadrive 32X est un jeu de boxe. Le joueur prend les commandes de l'un des 24 boxeurs proposés et affronte des concurrents dans les quatre coins de l'hémicycle. De la Zone Europe à l'Asie en passant par l'Amérique, enchaînez les uppercuts et veillez bien à conserver votre garde. L'objectif est de mettre votre adversaire KO en épuisant ses réserves d'énergie ou de marquer un maximum de points afin de l'emporter lors du décompte final des juges.
Virtua Fighter (Japan, USA) (En)	Virtua Fighter sur Megadrive 32X est un jeu de combat mettant en scène un grand tournoi entre 11 combattants. Concernant la jouabilité, trois boutons servent respectivement à donner des coups de poings, de pieds et à parer. Les combinaisons possibles rendent le nombre de coups et d'enchaînements permis très important. Virtua Fighter est le premier jeu de combat réalisé intégralement en trois dimensions.
Virtua Hamster (USA) (Proto)	Virtua Hamster est un jeu qui devait sortir sur la Sega 32x, mais il n'est jamais sorti à cause de l'échec de la console. C'est l'histoire d'un scientifique qui fut transformé en hamster après une expérience et qui pour pouvoir retrouver sa forme humaine devait s'enfuir par des tuyaux. C'est un jeu de type course où vous devez passer de tuyau en tuyau. Le jeu a été dumpé en 2009 par Ryo Suzuki de SEGASaturno.com dans sa version alpha : il n'y a donc que le 1er niveau de disponible.
Virtua Racing Deluxe (USA)	Virtua Racing Deluxe sur Megadrive 32X est un jeu de courses proposant trois catégories d'automobiles, des formule-1, des stock cars ainsi que des véhicules prototypes. Cinq circuits et trois modes de jeu sont mis à disposition : une course simple, un contre-la-montre ainsi qu'un mode Versus qui permet d'affronter un adversaire en écran partagé. A vos marques...
World Series Baseball Starring Deion Sanders (USA)	World Series Baseball sur Megadrive 32X est un jeu de sport qui entraîne le joueur au coeur du championnat américain de base-ball. Doté de la licence MLBPA, le jeu permet de jouer avec 28 équipes américaines ainsi que 700 joueurs. Trois modes de jeu sont proposés : Entraînement, match d'exhibition ou championnat national.
WWF Raw (World)	WWF Raw sur Megadrive 32X est une simulation de catch sous licence officielle de la fédération mondiale. Le titre donne lieu à des combats en solo ou par équipe où tous les coups sont permis. Les stars de l'époque sont toutes là pour assurer le spectacle.
WWF WrestleMania - The Arcade Game (USA)	WWF Wrestlemania sur Megadrive 32X est une simulation de catch sous licence officielle de la fédération mondiale. Le titre donne lieu à des combats en solo ou par équipe où tous les coups sont permis. Les stars de l'époque sont toutes là pour faire le spectacle.
X-Men (USA) (Proto)	Un titre destiné a être exclusif pour la Sega 32x mais qui a finalement été annulé pour des raisons inconnues. Un prototype fut dumpé par Ryo Suzuki de SegaSaturno.com mais qui reste très incomplet, et bien que les X-Men Wolverine, Rogue et Iceman auraient dû être jouables, seul Bishop est controlable.
Zaxxon's Motherbase 2000 (Japan, USA) (En)	Zaxxon Motherbase 2000 sur Megadrive 32X est un shoot'em up qui donne au joueur les commandes d'un vaisseau spatial survolant une forteresse ennemie. L'objectif est de détruire le plus de cibles possible et d'éviter les tirs adverses. Le jeu Solo est agrémenté d'un mode à deux où les joueurs se retrouvent en opposition.
