#key	synopsis
5 in One FunPak (USA)	Pack de 5 jeux : Backgammon, Dames, Reversi, Échec, yahtzee
BreakThru! (USA) (Proto)	BreakThru ! Il a été initialement publié sur d'autres systèmes tels que PC, SNES, Game Boy, Saturn, Playstation. Le jeu est tristement célèbre pour avoir été approuvé par le créateur de Tetris, Alexey Pajitnov. Cette version Game Gear a été achevée mais n'a jamais été publiée pour des raisons inconnues.
Bubble Bobble (USA)	Le jeu met en scène Bub et Bob, deux enfants transformés en dragons et dont les fiancées ont été enlevées par le Baron von Blubba. Bub, aidé de Bob en mode deux joueurs, doit parcourir les quelque 100 niveaux du jeu pour les délivrer. Chaque niveau se compose d'un écran fixe avec pour environnement un ensemble de plates-formes plus ou moins alambiquées. Des monstres évoluent dans ce décor et le but est de tous les éliminer sans se faire toucher. Les dragons ont le pouvoir de cracher des bulles qui emprisonnent les ennemis pendant quelques secondes ; ils n'ont ensuite plus qu'à faire éclater la bulle pour tuer le monstre et faire apparaître un objet qui vient gonfler le score. Il y a différents paramètres qui entrent progressivement en jeu, venant complexifier le challenge : au-delà d'une certaine limite de temps, les monstres accélèrent brutalement ; la durée de « capture » des bulles est variable et des courants d'air peuvent altérer leur trajectoire.
Bugs Bunny in Double Trouble (USA, Europe)	Bugs Bunny doit arrêter Gossamer, le robot créé par Sam le Pirate, désormais hors de contrôle de son créateur. Bugs Bunny in Double Trouble sur Game Gear est un jeu de plates-formes où vous devrez tantôt guider un personnage vers un endroit sûr, échapper à un poursuivant, ou battre un monstre. Bugs révèle ses talents de lièvre grâce à sa course rapide et à de grands bonds dont vous devrez tirer profit !
Bust-A-Move (USA)	Retrouvez les deux petits dinosaures Bubble et Bobble dans le classique Bust-A-Move sur Game Gear. Explosez les bulles de couleur par groupe de trois minimum, en choisissant bien votre angle et en jouant avec les rebonds sur les murs, sans que les bulles ne s'accumulent et ne dépassent la limite imposée.
Buster Ball (Japan)	On fait face ici à un espèce de hockey futuriste qui contient quand même sa petite variante. Le terrain est délimité en 4 segments, chaque joueur est cantonné dans un de ces segments et il ne peut en aucun cas passer d'un segment à l'autre. On doit donc attraper le palet magnétique, avancer jusqu'à la limite d'un segment, passer le relais à un joueur qui se trouve de l'autre coté pour continuer la progression et marquer. Voilà qui pose les règles d'un jeu bien simple, doté d'une vue de dessus et de graphismes d'assez bonne facture. Un mode championnat vous assure quelques heures de jeu assez fun dès qu'on a apprivoisé le contrôle des joueurs.
Buster Fight (Japan)	Choisissez un des quatre colosses belliqueux qui ont chacun une série de mouvements spéciaux et de techniques de combat et affrontez de face les trois autres ! Invitez un copain pour un combat d'exhibition ou frayez votre chemin vers le sommet dans un tournoi à un joueur ou vous devrez lutter pour votre vie, mais aussi pour celle de tous les humains !
Caesars Palace (USA)	Visitez le célèbre Caesar's Palace et faite vous une place aux tables VIP en jouant gros et en gagnant gros aux multiples jeux que vous propose ce casino.
Captain America and the Avengers (USA)	Captain America and the Avengers sur Game Gear est la conversion du jeu d'action sorti en arcade. Incarnez les héros Marvel tels qu'Iron Man, Hawkeye et Vision. Vous pouvez choisir de jouer seul ou à deux simultanément, pour éliminer tout opposant qui osera se mettre en travers de votre super-chemin.
Car Licence (Japan)	Car Licence n'est pas réellement un jeu, mais une assistance pour ceux qui souhaite passer leur permis... Au japon...
Casino FunPak (USA)	Casino FunPak sur Game Gear vous permet de vous balader dans un casino virtuel et de participer aux jeux habituellement présents dans ce genre d'établissement. Vous pourrez donc jouer votre paye ou votre belle-mère à la roulette ou au poker, rester des heures durant devant une machine à sous, ou bien encore tenter une partie de black jack ou de craps.
