#key	name	year	genre	developer	players
Lethal Enforcers II - The Western (Japan)	Lethal Enforcers II : Gun Fighters	1994	Lightgun Shooter	Konami	1-2
Links - The Challenge of Golf (USA)	Links : The Challenge of Golf	1994	Sports / Golf/Sports	Papyrus	1
Loadstar - The Legend of Tully Bodine (USA, Brazil)	Loadstar : The Legend of Tully Bodine	1994	Lightgun Shooter	Rocket Science Games	1
Lords of Thunder (USA)	Lords of Thunder	1995	Shoot'em Up / Horizontal/Shoot'em Up	Red Company Corporation	1-2
Lunar - Eternal Blue (USA) (RE)	Lunar : Eternal Blue	1995	Role Playing Game	Game Arts	1
Lunar - The Silver Star (USA)	Lunar : The Silver Star	1993	Role Playing Game	Working Designs	1
Mad Dog II - The Lost Gold (USA)	Mad Dog II : The Lost Gold	1994	Lightgun Shooter	American Laser Games	1-2
Mad Dog McCree (USA)	Mad Dog McCree	1993	Lightgun Shooter	American Laser Games	1-2
Mahou no Shoujo - Silky Lip (Japan)	Mahou no Shoujo: Silky Lip	1992	Adventure	Nippon Telenet	1
Make My Video - INXS (USA)	INXS	1992	Various	Digital Pictures	1
Make My Video - Kris Kross (USA)	Kris Kross	1992	Music and Dancing	Digital Pictures	1
Make My Video - Marky Mark and the Funky Bunch (USA)	Marky Mark And The Funky Bunch	1992		Digital Pictures	1
Mansion of Hidden Souls (USA)	Mansion of Hidden Souls	1993	Adventure	System Sacom	1
Marko's Magic Football (Europe) (En,Fr,De,Es)	Marko's Magic Football	1995	Platform	Domark	1
Mary Shelley's Frankenstein (USA)	Mary Shelley's Frankenstein	1994		Psygnosis	1
Masked Rider, The - Kamen Rider ZO (USA)	The Masked Rider : Kamen Rider ZO	1994	Adventure / Interactive Movie/Adventure	Toei Video Co.	1
Mega Schwarzschild (Japan)	Mega Schwarzschild	1993	Strategy/Simulation	Kogado Software Products	1
MegaRace (USA)	MegaRace	1994	Racing, Driving	Cryo Interactive	1
Mickey Mania (Europe)	Mickey Mania : The Timeless Adventures of Mickey Mouse	1994	Platform	Traveller's Tales	1
Mickey Mania - The Timeless Adventures of Mickey Mouse (USA)	Mickey Mania : The Timeless Adventures of Mickey Mouse	1994	Platform	Traveller's Tales	1
Microcosm (USA)	Microcosm	1993	Shooter / Plane, TPV/Shooter	Psygnosis	1
Midnight Raiders (USA)	Midnight Raiders	1994	Lightgun Shooter	Stargate Films	1
Might and Magic III - Isles of Terra (Japan)	Might and Magic III: Isles of Terra	1993	Role Playing Game	New World Computing	1
Mighty Morphin Power Rangers (USA)	Mighty Morphin Power Rangers	1995	Fighting	Banpresto	1
Mortal Kombat (USA)	Mortal Kombat	1993	Fighting	Probe Software	1-2
Mortal Kombat Kanzenban (Japan)	Mortal Kombat	1993	Fighting	Probe Software	1-2
My Paint (USA)	My Paint : The Animated Paint Program	1993	Various	Wayforward	1
NBA Jam (USA)	NBA Jam	1994	Sports / Basketball/Sports	Midway	1-4
NFL Football Trivia Challenge (USA)	NFL Football Trivia Challenge	1993	Quiz	Capitol Disc Interactive	1-4
NFL's Greatest - San Francisco vs. Dallas 1978-1993 (USA)	NFL's Greatest : San Francisco vs. Dallas 1978-1993	1993	Sports / Football (American)/Sports	SEGA	1-2
NHL '94 (USA)	NHL '94	1993	Sports / Hockey/Sports	High Score Productions	1-4
