#key	synopsis
Crime Patrol (USA)	Ce thriller-action à base de FMV (vidéos interactives) met le joueur au défi de progresser à travers les rangs de la police en combattant pléthores de criminels. En tant que jeune recrue (rookie), le joueur défait des membres de gang, des voleurs armés et d'autres criminels de rue. Promu détective signifie travailler sous couverture contre les dealers de drogue et autres go-fast. Soyez prêt à affronter des ravisseurs de banque et terroristes une fois sélectionné pour rejoindre l'équipe des SWAT. Seul le meilleur joueur sera en mesure de rejoindre les Delta Force et ainsi tenter de stopper un criminel menaçant la sécurité nationale.
Cyborg 009 (Japan)	Cyborg 009 est un jeu de plates-formes sur Mega Cd qui raconte l'histoire de 9 adolescents originaires des quatre coins du monde, enlevés par l'organisation criminelle Black Ghost afin de les transformer en cyborgs. Grâce à l'aide du Dr Isaac Gilmore, les 9 adolescents parviennent à s'échapper et décident de mener une lutte acharnée contre leur créateur.
Daihoushinden (Japan)	Honnêtement, très peu de choses sont connus de ce jeu en occident. L'intrigue semble impliquer une armée envahissante et le héros doit faire face aux problèmes qui se posent. Le jeu est très lourd de texte (japonais), donc même avec une sorte de guide de traduction, jouer à ce jeu est une tâche intimidante. Le combat est également très difficile, donc seul les joueurs les plus hardcore continueront probablement à jouer. Pourtant, il dispose de musique de qualité et introduit comme fonctionnalité, vous l'avez deviné, des scènes animées comme il est fréquent d'en voir sur Mega-CD. Le jeu lui-même est agréable à regarder. Le gameplay est un JRPG (jeu de rôle japonais) au tour par tour.
Dark Wizard (USA)	Dark Wizard sur Mega CD est un jeu de rôle qui entraîne le joueur au coeur du royaume de Cheshire tombé entre les mains du machiavélique Velonese. Incarnez l'un des quatre personnages au choix et restaurez l'ordre et la loi dans un univers en perdition. Les phases de combat se déroulent en tour par tour et chaque combat gagné est récompensé par des points d'expérience pour faire évoluer les caractéristiques du personnage.
Dark Wizard - Yomigaerishi Yami no Madoushi (Japan)	Dark Wizard sur Mega CD est un jeu de rôle qui entraîne le joueur au coeur du royaume de Cheshire tombé entre les mains du machiavélique Velonese. Incarnez l'un des quatre personnages au choix et restaurez l'ordre et la loi dans un univers en perdition. Les phases de combat se déroulent en tour par tour et chaque combat gagné est récompensé par des points d'expérience pour faire évoluer les caractéristiques du personnage.
Death Bringer (Japan)	Death Bringer sur Mega CD est un jeu de rôle à la première personne se déroulant dans le monde de Mezron. L'histoire débute lors de la résurrection du maléfique Azazael, parti à la recherche de cinq pierres précieuses donnant de grands pouvoirs. Le joueur incarne un aventurier qui tente de stopper Azazael dans sa quête.
Demolition Man (USA)	Demolition Man est un jeu de plateforme au rythme effréné, dont certains niveaux se déroulent en vue aérienne (à l'instar de Smash TV). Dans la peau de John Spartan, le joueur passera la majeure partie de son temps à tirer sur des vagues incessantes de « cryocons » déchaînés dans un monde futuriste aseptisé. L'arme standard peut être améliorée avec un fusil à pompe et un magnum, tous deux dotés d'un nombre limité de munitions. De plus, divers types de grenades peuvent être ramassés et lancés indépendamment de l'arme à feu. Simon Phoenix apparaît en tant que boss à la fin de chaque niveau, en lien direct avec le film.
Dennin Aleste - Nobunaga and His Ninja Force (Japan)	Robo Aleste sur Mega-CD est un shoot'em up se déroulant dans le pays du soleil levant. L'histoire débute lorsque le clan Oda, ravagé par les seigneurs de guerre Chugoko, décide de prendre sa revanche grâce à une arme secrète. Le joueur dirige un robot de guerre dans ce shoot'em up où chaque niveau se ponctue par un affrontement face à un boss.
Detonator Orgun (Japan)	Detonator Orgun est un jeu d'aventure à choix multiples dans le genre de Snatcher. Nombreuses digits vocales, design style animé années 70-80 réussi, cadrages dynamiques. Il ne manque à ce jeu que d'être traduit, car pour l'instant il est à réserver à ceux qui parlent japonais !
Devastator (Japan)	Ryo commence à travailler pour une compagnie appelée Yaesu en remplacement de son ami Masato. Au cours d'un tour d'essai avec une nouvelle machine, il est en quelque sorte projeté dans une autre dimension. Après avoir été secouru par un groupe de pilotes mecha des griffes de viles créatures nommées Devastators, il apprend que celles-ci projettent de rejoindre sa propre dimension, et s'engage à les arrêter.
Double Switch (USA)	Double Switch est un jeu d'aventure sur Mega-CD. Animé par le Full Motion Video (FMV), il consiste en la surveillance électronique d'un bâtiment couplée à certaines interventions qu'il faudra opérer au moment crucial afin d'empêcher vos ennemis de triompher. L'action se déroule dans un complexe d'habitations qui renfermerait, selon la rumeur, un précieux artefact égyptien dont la mafia aimerait s'emparer.
Dracula Unleashed (USA) (Disc 1)	Dracula Unleashed combine la qualité d'un film hollywoodien, un mystère difficile à résoudre et une nouvelle tournure de la légende de Dracula. Dix ans après les événements décrits dans le roman original de Bram Stoker, Alexander Morris, un riche Américain, est arrivé en Angleterre pour découvrir les véritables circonstances de la mort mystérieuse de son frère.
Dragon's Lair (USA)	Dragon's Lair est un dessin animé interactif sur Mega-CD adapté du célèbre jeu sorti en 1983 sur les bornes d'arcade. Vous incarnez l'aventurier Dirk qui part à la rescousse de la princesse Daphné, capturée par Singe, le dragon maléfique. Avant d'arriver dans la tanière du dragon, le chevalier doit sortir vivant de tous les pièges du château en misant tout sur ses réflexes.
Dune (USA) (En,Fr,De,Es,It)	Dune sur Mega CD est un jeu mêlant aventure, gestion et stratégie. L'histoire qui se déroule sur la planète Arrakis, est centrée sur un conflit entre deux maisons autour de l'extraction de l'épice, substance la plus précieuse de l'univers. Le scénario suit les aventures de Paul Atréides, qui met toutes ses compétences à l'oeuvre pour défendre les intérêts des siens. Tissez des relations avec les tribus locales, assurez l'extraction de l'épice et chassez les cruels Harkonnen.
Dungeon Explorer (USA)	Dungeon Explorer sur Mega-CD est un jeu de rôle basé sur le combat et l'exploration de donjons lugubres. Le jeu propose huit classes de personnages, chacune possédant ses forces, ses faiblesses, et ses attaques spéciales. Dès lors, rétablissez le calme dans votre royaume et renvoyez les monstres envahisseurs d'où ils viennent.
Dungeon Master II - Skullkeep (USA) (RE3)	Dans Dungeon Master II : The Legend of Skullkeep, vous incarnez Thoram Zed qui doit pénétrer dans le château Skullkeep pour tuer l'infâme Dragoth. L'accès au château nécessitant les quatre clefs du destin, le joueur doit d'abord se préoccuper de trouver celles-ci avant de débuter sa quête. Pour ce faire, réunissez une équipe de quatre combattants et réalisez un certain nombre de missions. Le jeu fusionne les combats en temps réel avec la résolution d'énigmes et les voyages. La cartographie est désormais automatique. Les effets de la pluie et de la magie sont intégrés au moteur. La première partie du jeu se déroule en surface, avec la visite de villages dotés de boutiques et de temples ainsi que la traversée de forêts.
Dynamic Country Club (Japan)	Dynamic Country Club est un jeu de simulation de golf proposant un parcours original avec 18 trous, ainsi que plusieurs modes standard dont Tournoi, Stroke Play pour jusqu'à quatre joueurs, Match Play pour jusqu'à deux joueurs, et un mode coopératif à quatre joueurs appelé Foursome. En dehors des modes de jeu principaux, il existe un soi-disant mode d'échauffement où le joueur peut choisir un trou pour s'entraîner de diverses manières, notamment en pratiquant des tirs à partir de nombreux endroits sur et en dehors du fairway. En outre, il existe également un mode dictionnaire où une large gamme de termes de golf sont expliqués en japonais.
Earnest Evans (Japan)	Earnes Evans sur Mega-CD est un jeu d'action/plates-formes où l'on incarne un jeune archéologue à la recherche de trois artefacts censés apporter gloire et prospérité. Le héros rencontre de nombreux obstacles (lave, falaises, rochers, gangsters et monstres) au cours de ses recherches et doit dénicher les précieux objets avant qu'ils tombent entre de mauvaises mains.
